intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
6.663415,"1","1",6.663415,6.663415,0,6.663415,6.663415,6.663415,0,6.663415,6.663415,6.663415,6.663415,0
7.142114,"1","1",7.142114,7.142114,0,7.142114,7.142114,7.142114,0,7.142114,7.142114,7.142114,7.142114,0
32.678677,"1","1",32.678677,32.678677,0,32.678677,32.678677,32.678677,0,32.678677,32.678677,32.678677,32.678677,0
31.716425,"1","1",31.716425,31.716425,0,31.716425,31.716425,31.716425,0,31.716425,31.716425,31.716425,31.716425,0
1.634344,"1","1",1.634344,1.634344,0,1.634344,1.634344,1.634344,0,1.634344,1.634344,1.634344,1.634344,0
2.240988,"1","1",2.240988,2.240988,0,2.240988,2.240988,2.240988,0,2.240988,2.240988,2.240988,2.240988,0
41.111921,"1","1",41.111921,41.111921,0,41.111921,41.111921,41.111921,0,41.111921,41.111921,41.111921,41.111921,0
5.064703,"1","1",5.064703,5.064703,0,5.064703,5.064703,5.064703,0,5.064703,5.064703,5.064703,5.064703,0
800.088623,"1","1",800.088623,800.088623,0,800.088623,800.088623,800.088623,0,800.088623,800.088623,800.088623,800.088623,0
0.984872,"1","1",0.984872,0.984872,0,0.984872,0.984872,0.984872,0,0.984872,0.984872,0.984872,0.984872,0
3.942005,"1","1",3.942005,3.942005,0,3.942005,3.942005,3.942005,0,3.942005,3.942005,3.942005,3.942005,0
12.116193,"1","1",12.116193,12.116193,0,12.116193,12.116193,12.116193,0,12.116193,12.116193,12.116193,12.116193,0
3.585127,"1","1",3.585127,3.585127,0,3.585127,3.585127,3.585127,0,3.585127,3.585127,3.585127,3.585127,0
3.127500,"1","1",3.1275,3.1275,0,3.1275,3.1275,3.1275,0,3.1275,3.1275,3.1275,3.1275,0
0.014262,"1","1",0.014262,0.014262,0,0.014262,0.014262,0.014262,0,0.014262,0.014262,0.014262,0.014262,0
19.048777,"1","1",19.048777,19.048777,0,19.048777,19.048777,19.048777,0,19.048777,19.048777,19.048777,19.048777,0
9.161372,"1","1",9.161372,9.161372,0,9.161372,9.161372,9.161372,0,9.161372,9.161372,9.161372,9.161372,0
0.005226,"1","1",0.005226,0.005226,0,0.005226,0.005226,0.005226,0,0.005226,0.005226,0.005226,0.005226,0
76.957057,"1","1",76.957057,76.957057,0,76.957057,76.957057,76.957057,0,76.957057,76.957057,76.957057,76.957057,0
0.096868,"1","1",0.096868,0.096868,0,0.096868,0.096868,0.096868,0,0.096868,0.096868,0.096868,0.096868,0
6.767724,"1","1",6.767724,6.767724,0,6.767724,6.767724,6.767724,0,6.767724,6.767724,6.767724,6.767724,0
